,Compound,Date,Negative Score,Neutral Score,Positive Score,Text,Tweets Ago,Username
419,0.6222,Sat Oct 06 18:00:05 +0000 2018,0.0,0.815,0.185,Logic has become one of hip-hop’s most commercially successful artists by charting a path similar to Lil Wayne’s wh… https://t.co/kzIEpDMFia,20,@nytimes
420,-0.2263,Sat Oct 06 17:59:10 +0000 2018,0.106,0.894,0.0,RT @SherylNYT: Protesters are massing at the Capitol before confirmation vote on Judge Brett M. Kavanaugh https://t.co/7Kn2UnlMpx,21,@nytimes
421,0.0,Sat Oct 06 17:59:08 +0000 2018,0.0,1.0,0.0,"RT @SherylNYT: SPOTTED in the Capitol: Debra S. Katz and Lisa Banks, attorneys for Christine Blasey Ford, entering the Senate visitor's gal…",22,@nytimes
422,-0.296,Sat Oct 06 17:45:08 +0000 2018,0.099,0.901,0.0,"RT @TomJolly: If you missed the @nytimes investigative report on @realDonaldTrump’s tax history, it will be available on newsstands in the…",23,@nytimes
423,0.5574,Sat Oct 06 17:45:06 +0000 2018,0.0,0.854,0.146,"Once Brett Kavanaugh is sworn in, the Supreme Court will be more conservative than at any other time in modern hist… https://t.co/fB9ztHvxM7",24,@nytimes
424,0.431,Sat Oct 06 17:30:03 +0000 2018,0.0,0.856,0.144,"For many Brazilians, this weekend's presidential elections have come down to who is the least bad option. https://t.co/I9E1xQDDwz",25,@nytimes
425,0.1779,Sat Oct 06 17:15:09 +0000 2018,0.115,0.733,0.152,"In Opinion

Daniel Willingham writes: ""There’s no good scientific evidence that learning styles actually exist."" https://t.co/Sccnco85KO",26,@nytimes
426,0.34,Sat Oct 06 17:00:06 +0000 2018,0.0,0.876,0.124,"Senators spent hours Friday night into Saturday morning giving speeches about Brett Kavanaugh, ahead of the expecte… https://t.co/SOldOZlqSg",27,@nytimes
427,0.3612,Sat Oct 06 16:46:29 +0000 2018,0.0,0.865,0.135,"RT @NYTHealth: What does DNA look like? In the lab, the stuff resembles soggy cotton candy. https://t.co/I0tctMUqJE",28,@nytimes
428,0.4588,Sat Oct 06 16:34:40 +0000 2018,0.0,0.88,0.12,"RT @katierogers: Complete FLOTUS answer to my q on Kavanaugh: She called him “highly qualified” and said “I’m glad Dr. Ford was heard, I’m…",29,@nytimes
429,0.0,Sat Oct 06 16:34:20 +0000 2018,0.0,1.0,0.0,"RT @katierogers: MORE from FLOTUS, who told me she sometimes takes the president’s phone away. On his sharp words on Twitter: “I don’t alwa…",30,@nytimes
430,-0.7346,Sat Oct 06 16:34:14 +0000 2018,0.274,0.61,0.116,RT @katierogers: “We need to help all of the victims no matter our opinions. I am against any kind of abuse or violence.” But FLOTUS would…,31,@nytimes
431,0.0,Sat Oct 06 16:34:08 +0000 2018,0.0,1.0,0.0,RT @katierogers: NEW: FLOTUS just spoke for five minutes in front of the Sphinx. Touched on #MeToo. She said she thinks Kavanaugh is “highl…,32,@nytimes
432,0.0,Sat Oct 06 16:30:05 +0000 2018,0.0,1.0,0.0,"In a blog post he now says was meant to be satirical, a Brooklyn professor wrote, “In the future, having committed… https://t.co/hryLUUaYQo",33,@nytimes
433,0.0,Sat Oct 06 16:30:05 +0000 2018,0.0,1.0,0.0,"RT @NYTSports: ""I believe that you’re a hitter first and you’re a slugger second,"" J.D. Martinez said after his 3-run HR helped the Red Sox…",34,@nytimes
434,0.0258,Sat Oct 06 16:15:07 +0000 2018,0.098,0.8,0.102,"The FDA is now approving the vaccine that protects against 9 strains of human papillomavirus, or HPV, for people up… https://t.co/dWRxb0AMfJ",35,@nytimes
435,0.4019,Sat Oct 06 16:00:14 +0000 2018,0.0,0.876,0.124,"Have a question about healthy sex, what’s normal for your body or some other women’s health issue? Our editors are… https://t.co/R7vDJbokHs",36,@nytimes
436,0.2023,Sat Oct 06 15:50:02 +0000 2018,0.158,0.644,0.198,"Review: ""A Star Is Born,"" starring Lady Gaga and Bradley Cooper, is a gorgeous heartbreaker https://t.co/w54WWSkDJ2",37,@nytimes
437,0.2023,Sat Oct 06 15:35:04 +0000 2018,0.0,0.909,0.091,"To understand why Columbus and Columbus Day remain important to Italian-Americans, they say it is necessary to reme… https://t.co/2L5EugxDii",38,@nytimes
438,-0.34,Sat Oct 06 15:20:06 +0000 2018,0.103,0.897,0.0,"Moments after the gavel sounded on the $1.4 million sale of the Banksy artwork, an alarm sounded and it slipped thr… https://t.co/DnbgLEH4BJ",39,@nytimes
439,-0.6597,Sat Oct 06 15:04:04 +0000 2018,0.27,0.652,0.078,"During a critical point in the Vietnam War, a top U.S. military commander activated a plan to move tactical nuclear… https://t.co/b9tdUoxqit",40,@nytimes
440,-0.0762,Sat Oct 06 14:49:45 +0000 2018,0.064,0.936,0.0,White House counsel Donald F. McGahn II reportedly told President Trump they could not legally order an unlimited F… https://t.co/dVRqI0VSLT,41,@nytimes
441,-0.3412,Sat Oct 06 14:33:02 +0000 2018,0.124,0.876,0.0,"""If 'Seinfeld' was a show about nothing, 'The Good Place' is a show about everything — including, and especially, g… https://t.co/hIY5YWCyrR",42,@nytimes
442,-0.6486,Sat Oct 06 14:16:03 +0000 2018,0.193,0.807,0.0,"For months, a reputed mobster has been pursued by someone who wanted him dead. On Thursday, outside a McDonald’s in… https://t.co/PGVGLHBhr3",43,@nytimes
443,0.34,Sat Oct 06 14:00:14 +0000 2018,0.0,0.882,0.118,"Potentially for sale: $22 million in real estate, some purchased with the ill-gotten gains of Paul Manafort. Here's… https://t.co/39IRoEE4IR",44,@nytimes
444,0.8625,Sat Oct 06 13:45:03 +0000 2018,0.0,0.652,0.348,A rare thing happened with the Nobel Prizes for physics and chemistry: Women won them. Here's the week in good news. https://t.co/9DywwIlL9s,45,@nytimes
445,0.0,Sat Oct 06 13:30:10 +0000 2018,0.0,1.0,0.0,"What service animals can you bring on an Alaska Airlines flight? Dogs, cats and... miniature horses. https://t.co/KGzR0hsCnv",46,@nytimes
446,0.6597,Sat Oct 06 13:15:04 +0000 2018,0.0,0.787,0.213,He once joked with friends he was still single because he was holding out for a supermodel. Then he actually fell i… https://t.co/KZLjd3lmgr,47,@nytimes
447,0.0,Sat Oct 06 13:02:06 +0000 2018,0.0,1.0,0.0,"The NYT movie review of ""A Star Is Born"" https://t.co/zVFi9rmjtT",48,@nytimes
448,0.0,Sat Oct 06 12:54:38 +0000 2018,0.0,1.0,0.0,Why Count All the Squirrels in Central Park? Why the Heck Not https://t.co/O149ZSDsI8,49,@nytimes
449,-0.2263,Sat Oct 06 12:42:03 +0000 2018,0.091,0.909,0.0,"In Opinion

Emma González writes, ""This isn’t something we are ever going to forget about. This isn’t something we… https://t.co/HcyM9kgMvr",50,@nytimes
450,0.6369,Sat Oct 06 12:22:04 +0000 2018,0.0,0.792,0.208,"Modern Love: ""You can’t will the right man into your life simply by planning for him"" https://t.co/jsuiMVhaWj",51,@nytimes
451,0.0,Sat Oct 06 12:02:10 +0000 2018,0.0,1.0,0.0,How to vote early in the 2018 midterm elections https://t.co/u7qJ60Adz5,52,@nytimes
452,0.0,Sat Oct 06 11:47:03 +0000 2018,0.0,1.0,0.0,President Trump has sold himself as a self-made billionaire but our investigation found that he received more than… https://t.co/WMtwcPbvMq,53,@nytimes
453,0.4005,Sat Oct 06 11:42:02 +0000 2018,0.0,0.77,0.23,"The 19 fall cookbooks @NYTFood is most excited about 
https://t.co/zMPWt4Yrv6",54,@nytimes
454,0.0,Sat Oct 06 11:22:05 +0000 2018,0.0,1.0,0.0,"The man that the Danish government says swindled it out of $2 billion resides in a 10,000 square foot home in Dubai… https://t.co/KkwyeI7LXC",55,@nytimes
455,0.8126,Sat Oct 06 11:02:04 +0000 2018,0.088,0.5,0.412,A top Democrat promised to open an investigation into accusations against Brett Kavanaugh if the party wins control… https://t.co/nZOFh4wCBt,56,@nytimes
456,0.0,Sat Oct 06 10:31:11 +0000 2018,0.0,1.0,0.0,Here's everything you need to know for the midterm elections https://t.co/8k4PNToChW,57,@nytimes
457,-0.6249,Sat Oct 06 10:14:49 +0000 2018,0.291,0.709,0.0,Nonfiction: Ben Fountain Takes a Tour Through Our Current Existential Crisis https://t.co/e807w5PDj9,58,@nytimes
458,-0.8225,Sat Oct 06 10:00:36 +0000 2018,0.409,0.591,0.0,Cameroon on Brink of Civil War as English Speakers Recount ‘Unbearable’ Horrors https://t.co/ORTto6SBpY,59,@nytimes
459,-0.7906,Sat Oct 06 09:53:01 +0000 2018,0.333,0.667,0.0,"An Infant Is Dead, Her Twin Is Injured, and Their Mother Is in Police Custody https://t.co/EfK0UOtMEN",60,@nytimes
460,0.1779,Sat Oct 06 09:49:39 +0000 2018,0.0,0.898,0.102,What's one of the fastest growing sources of greenhouse gas emissions? A new report says plastics. https://t.co/MbmOAkR6oS,61,@nytimes
461,0.0,Sat Oct 06 09:32:06 +0000 2018,0.0,1.0,0.0,"RT @nytimesarts: Bradley Cooper narrates a scene from ""A Star Is Born"" where Lady Gaga's star begins to rise https://t.co/4Ao7ufSNoJ",62,@nytimes
462,0.0,Sat Oct 06 09:29:03 +0000 2018,0.0,1.0,0.0,Danske Bank Faces U.S. Inquiry Over Money Laundering https://t.co/leAVDuQD1H,63,@nytimes
463,0.0,Sat Oct 06 09:07:00 +0000 2018,0.0,1.0,0.0,Taking a trip down California's Highway 1 — now reopened in its entirety https://t.co/tBVh2Hruxn,64,@nytimes
464,0.0258,Sat Oct 06 08:49:33 +0000 2018,0.0,0.901,0.099,Nonfiction: How Do We Make the Long-Term Decisions That Matter? https://t.co/OfEg2CA1va,65,@nytimes
465,0.2023,Sat Oct 06 08:42:10 +0000 2018,0.0,0.893,0.107,"Researchers at Johns Hopkins University have recommended that psilocybin, the compound found in hallucinogenic mush… https://t.co/sUsVsQbGSM",66,@nytimes
466,0.34,Sat Oct 06 08:24:43 +0000 2018,0.0,0.806,0.194,Our cybersecurity reporter @sheeraf explains how she safeguards her devices https://t.co/3WoDLIh7uk,67,@nytimes
467,0.5106,Sat Oct 06 08:08:33 +0000 2018,0.0,0.732,0.268,"Montserrat Caballé, Revered Spanish Prima Donna, Dies at 85 https://t.co/UcwX6ktqrS",68,@nytimes
468,0.6249,Sat Oct 06 08:06:59 +0000 2018,0.145,0.485,0.37,"How special education is failing T.J., a friendly 12-year-old boy, and many children like him https://t.co/xXTBg6rLsc",69,@nytimes
469,0.0,Sat Oct 06 07:49:39 +0000 2018,0.0,1.0,0.0,"Cindy Sherman has recently taken to Instagram, where she has been producing a series of images utterly unlike anyth… https://t.co/lLfQrr7rrY",70,@nytimes
470,-0.296,Sat Oct 06 07:32:04 +0000 2018,0.109,0.891,0.0,RT @nytimesworld: The president of Interpol has been reported missing by his wife after he traveled to China https://t.co/7LuAb3xOAV,71,@nytimes
471,0.4404,Sat Oct 06 07:08:01 +0000 2018,0.0,0.813,0.187,"In Opinion

""A growing body of literature suggesting that the immune system is involved in psychiatric disorders fr… https://t.co/fz7xFXzUbs",72,@nytimes
472,0.0,Sat Oct 06 06:51:54 +0000 2018,0.0,1.0,0.0,Her home in Vienna was confiscated by the Nazis in 1940. She later secretly moved back in and spied on the SS offic… https://t.co/yToDt22OEn,73,@nytimes
473,-0.5009,Sat Oct 06 06:35:04 +0000 2018,0.146,0.854,0.0,"In this Ukrainian town, almost everyone speaks Hungarian. It offers another example of why it so difficult for Ukra… https://t.co/nGoyGSsKEA",74,@nytimes
474,0.7351,Sat Oct 06 06:07:17 +0000 2018,0.0,0.721,0.279,"This Greek-style broiled shrimp dish is ready in just 10 minutes, making it the perfect weeknight recipe https://t.co/GHT4G0EoyQ",75,@nytimes
475,0.7096,Sat Oct 06 05:49:18 +0000 2018,0.0,0.688,0.312,"The best TV shows and movies new to Netflix, Amazon and more in October https://t.co/XJclRYR6Zy",76,@nytimes
476,-0.6369,Sat Oct 06 05:32:03 +0000 2018,0.243,0.66,0.097,RT @nytopinion: A vote for Brett Kavanaugh delivered a message to women who’ve suffered sexual assault: If the powerful can find a way to n…,77,@nytimes
477,0.891,Sat Oct 06 05:03:02 +0000 2018,0.0,0.616,0.384,"The first time our correspondent met the Nobel Peace Prize winner Dr. Denis Mukwege, the doctor was performing arou… https://t.co/iCJ3HXIl9N",78,@nytimes
